City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
82,jiuquan,39.7432,98.5174,22.32,38,2,1.92,CN,1704579960
83,la puebla de montalban,39.863,-4.3592,39.58,74,90,1.59,ES,1704579960
84,illizi,26.4833,8.4667,49.8,38,0,3.56,DZ,1704579961
85,nova sintra,14.8667,-24.7167,70.68,71,0,12.93,CV,1704579961
86,juneau,58.3019,-134.4197,30.2,95,40,0.0,US,1704579676
87,nuku'alofa,-21.1333,-175.2,82.74,83,75,10.36,TO,1704579901
88,port augusta,-32.5,137.7667,78.49,55,24,7.83,AU,1704579963
89,sim,54.993,57.6982,20.1,96,100,2.21,RU,1704579963
90,stettler,52.3168,-112.7186,20.39,89,100,9.69,CA,1704579964
91,nagqu,31.5,92.0,3.42,73,3,3.02,CN,1704579964
92,rawson,-43.3002,-65.1023,63.55,72,2,14.9,AR,1704579964
93,atafu village,-8.5421,-172.5159,83.93,71,100,7.54,TK,1704579965
94,tazacorte,28.629,-17.9293,65.37,93,20,6.91,ES,1704579965
95,kodiak,57.79,-152.4072,38.71,93,100,20.71,US,1704579927
96,hoi an,15.8794,108.335,71.56,85,100,3.33,VN,1704579966
97,dhalie,13.6957,44.7314,61.09,57,12,2.33,YE,1704579967
98,larne,54.85,-5.8167,39.54,98,12,9.15,GB,1704579967
99,baiyin,36.5583,104.2081,24.08,36,8,2.46,CN,1704579968
100,pizarro,4.9533,-77.366,81.68,79,100,6.42,CO,1704579968
101,jamestown,42.097,-79.2353,30.72,100,100,4.61,US,1704579968
102,santa maria del oro,25.9333,-105.3667,64.11,8,87,16.96,MX,1704579969
103,sitka,57.0531,-135.33,37.29,87,75,3.44,US,1704579969
104,hammerfest,70.6634,23.6821,25.25,68,100,9.22,NO,1704579970
105,el paujil,1.5701,-75.3286,90.39,58,63,1.23,CO,1704579970
106,bobo-dioulasso,11.1771,-4.2979,75.65,25,97,6.91,BF,1704579971
107,tillaberi,14.2117,1.4531,76.84,13,79,9.31,NE,1704579971
108,springbok,-29.6643,17.8865,57.07,74,4,4.23,ZA,1704579971
109,invercargill,-46.4,168.35,60.03,79,98,8.01,NZ,1704579925
110,miranda do douro,41.4969,-6.2731,33.76,82,65,0.16,PT,1704579972
111,lihue,21.9789,-159.3672,81.64,70,0,5.75,US,1704579972
112,yashkul',46.1711,45.3435,34.18,77,97,5.39,RU,1704579973
113,laela,-8.5667,32.05,60.01,98,59,2.84,TZ,1704579973
114,selkirk,50.1436,-96.8845,10.47,82,100,1.99,CA,1704579974
115,hassi messaoud,31.6804,6.0729,53.46,43,72,6.91,DZ,1704579974
116,georgetown,5.4112,100.3354,78.73,92,20,0.0,MY,1704579822
117,mount isa,-20.7333,139.5,83.97,65,100,9.22,AU,1704579975
118,banda aceh,5.5577,95.3222,77.7,83,96,10.36,ID,1704579975
119,rundu,-17.9333,19.7667,72.07,70,51,3.67,NA,1704579976
120,gadzhiyevo,69.2551,33.3362,10.76,90,100,22.7,RU,1704579976
121,yauya,-8.9833,-77.3,57.94,67,94,5.64,PE,1704579977
122,ahtari,62.554,24.0619,-13.54,100,69,2.51,FI,1704579977
123,cidreira,-30.1811,-50.2056,73.72,85,4,20.04,BR,1704579978
124,hanceville,34.0607,-86.7675,47.89,84,98,9.15,US,1704579979
125,minas de marcona,-15.2119,-75.1103,68.32,71,18,17.02,PE,1704579980
126,longyearbyen,78.2186,15.6401,3.04,78,75,5.75,SJ,1704579980
127,udachny,66.4167,112.4,-13.56,75,100,14.27,RU,1704579980
128,thompson,55.7435,-97.8558,-5.64,77,100,4.61,CA,1704579936
129,wynyard,-41.0,145.7167,63.86,82,100,14.74,AU,1704579981
130,lorengau,-2.0226,147.2712,83.32,79,90,4.47,PG,1704579982
131,turbat,26.0023,63.044,67.08,72,68,6.91,PK,1704579983
132,nar'yan-mar,67.6713,53.087,3.11,95,32,7.0,RU,1704579983
133,talnakh,69.4865,88.3972,-9.8,98,100,8.61,RU,1704579930
134,rocha,-34.4833,-54.3333,80.2,59,96,14.03,UY,1704579984
135,al burayqah,30.4062,19.5739,66.34,61,1,17.31,LY,1704579984
136,nykoping,58.753,17.0079,11.1,90,75,6.91,SE,1704579985
137,chui,-33.6971,-53.4616,73.33,83,99,12.24,UY,1704579691
138,anadyr,64.75,177.4833,3.7,85,75,4.47,RU,1704579986
139,arraial do cabo,-22.9661,-42.0278,76.96,78,40,9.22,BR,1704579938
140,remire-montjoly,4.9167,-52.2667,80.64,78,40,4.61,GF,1704579987
141,ust-nera,64.5667,143.2,-36.85,99,100,3.6,RU,1704579987
142,bubaque,11.2833,-15.8333,79.27,75,7,11.97,GW,1704579988
143,tura,25.5198,90.2201,56.59,60,10,3.51,IN,1704579988
144,chernyshevskiy,63.0128,112.4714,-5.89,87,100,6.69,RU,1704579989
145,maracaju,-21.6144,-55.1683,93.33,28,47,4.16,BR,1704579989
146,istaravshan,39.9142,69.0033,44.8,43,100,6.73,TJ,1704579990
147,la passe,45.5549,-0.8967,41.23,84,9,13.6,FR,1704579990
148,nowshahr,36.649,51.496,46.35,71,20,0.0,IR,1704579991
149,nuuk,64.1835,-51.7216,25.41,80,100,10.36,GL,1704579991
150,afaahiti,-17.75,-149.2833,84.07,82,100,7.4,PF,1704579992
151,oumache,34.6929,5.6809,55.69,41,20,17.27,DZ,1704579992
152,yemetsk,63.4721,41.7941,-10.64,100,98,1.54,RU,1704579993
153,bafia,4.75,11.2333,70.52,46,56,2.86,CM,1704579993
154,lowestoft,52.4752,1.7516,37.65,78,48,15.73,GB,1704579993
155,shenjiamen,29.9576,122.298,46.33,67,2,15.41,CN,1704579994
156,namibe,-15.1961,12.1522,72.99,73,85,8.97,AO,1704579994
157,jinjiang,24.8198,118.5741,60.03,73,36,10.96,CN,1704579994
158,aswan,24.0934,32.907,61.9,36,0,3.44,EG,1704579995
159,san fernando de apure,7.8878,-67.4724,91.69,33,8,7.94,VE,1704579772
160,bykovo,55.6361,38.0803,3.18,88,40,4.47,RU,1704579996
161,sovetskaya gavan',48.9723,140.2878,5.11,96,96,3.83,RU,1704579996
162,naze,28.3667,129.4833,56.32,60,71,16.04,JP,1704579997
